Country,Date,TotalCases,TotalDeaths
USA,2020-02-15,15,0
USA,2020-02-16,15,0
USA,2020-02-17,15,0
USA,2020-02-18,15,0
USA,2020-02-19,15,0
USA,2020-02-20,15,0
USA,2020-02-21,35,0
USA,2020-02-22,35,0
USA,2020-02-23,35,0
USA,2020-02-24,53,0
USA,2020-02-25,57,0
USA,2020-02-26,60,0
USA,2020-02-27,60,0
USA,2020-02-28,63,0
USA,2020-02-29,68,1
USA,2020-03-01,75,1
USA,2020-03-02,100,6
USA,2020-03-03,124,9
USA,2020-03-04,158,11
USA,2020-03-05,221,12
USA,2020-03-06,319,15
USA,2020-03-07,435,19
USA,2020-03-08,541,22
USA,2020-03-09,704,26
USA,2020-03-10,994,30
USA,2020-03-11,1301,38
USA,2020-03-12,1630,41
USA,2020-03-13,2183,48
USA,2020-03-14,2771,58
USA,2020-03-15,3617,73
USA,2020-03-16,4604,95
USA,2020-03-17,6357,121
USA,2020-03-18,9317,171
USA,2020-03-19,13898,239
USA,2020-03-20,19551,309
USA,2020-03-21,24418,374
USA,2020-03-22,33840,509
USA,2020-03-23,44189,689
USA,2020-03-24,55398,957
USA,2020-03-25,68905,1260
USA,2020-03-26,86379,1614
USA,2020-03-27,105217,2110
USA,2020-03-28,124788,2754
USA,2020-03-29,144980,3251
USA,2020-03-30,168177,4066
USA,2020-03-31,193353,5151
USA,2020-04-01,220295,6394
USA,2020-04-02,250708,7576
USA,2020-04-03,283477,8839
USA,2020-04-04,317994,10384
USA,2020-04-05,343747,11793
USA,2020-04-06,375348,13298
USA,2020-04-07,409225,15526
USA,2020-04-08,441569,17691
USA,2020-04-09,475515,19802
USA,2020-04-10,509604,22038
USA,2020-04-11,539942,24062
USA,2020-04-12,567708,25789
USA,2020-04-13,594693,27515
USA,2020-04-14,621953,30081
USA,2020-04-15,652474,32712
USA,2020-04-16,682454,34905
USA,2020-04-17,714822,37448
USA,2020-04-18,743901,39331
USA,2020-04-19,770014,40901
USA,2020-04-20,798145,42853
USA,2020-04-21,824229,45536
USA,2020-04-22,854385,47894
USA,2020-04-23,886274,50234
USA,2020-04-24,925232,52191
USA,2020-04-25,960651,54256
USA,2020-04-26,987160,55412
USA,2020-04-27,1010356,56795
USA,2020-04-28,1035765,59265
USA,2020-04-29,1064194,61655
USA,2020-04-30,1095023,63856
USA,2020-05-01,1131030,65753
USA,2020-05-02,1160774,67444
USA,2020-05-03,1188122,68597
USA,2020-05-04,1212835,69921
USA,2020-05-05,1237633,72271
USA,2020-05-06,1263092,74799
Spain,2020-02-15,2,0
Spain,2020-02-16,2,0
Spain,2020-02-17,2,0
Spain,2020-02-18,2,0
Spain,2020-02-19,2,0
Spain,2020-02-20,2,0
Spain,2020-02-21,2,0
Spain,2020-02-22,2,0
Spain,2020-02-23,2,0
Spain,2020-02-24,3,0
Spain,2020-02-25,9,0
Spain,2020-02-26,13,0
Spain,2020-02-27,25,0
Spain,2020-02-28,33,0
Spain,2020-02-29,58,0
Spain,2020-03-01,84,0
Spain,2020-03-02,120,0
Spain,2020-03-03,165,1
Spain,2020-03-04,228,2
Spain,2020-03-05,282,3
Spain,2020-03-06,401,8
Spain,2020-03-07,525,10
Spain,2020-03-08,674,17
Spain,2020-03-09,1231,30
Spain,2020-03-10,1695,36
Spain,2020-03-11,2277,55
Spain,2020-03-12,3146,86
Spain,2020-03-13,5232,133
Spain,2020-03-14,6391,196
Spain,2020-03-15,7988,294
Spain,2020-03-16,9942,342
Spain,2020-03-17,11826,533
Spain,2020-03-18,14769,638
Spain,2020-03-19,18077,831
Spain,2020-03-20,21571,1093
Spain,2020-03-21,25496,1381
Spain,2020-03-22,28768,1772
Spain,2020-03-23,35136,2311
Spain,2020-03-24,42058,2991
Spain,2020-03-25,49515,3647
Spain,2020-03-26,57786,4365
Spain,2020-03-27,65719,5138
Spain,2020-03-28,73235,5982
Spain,2020-03-29,80110,6803
Spain,2020-03-30,87956,7716
Spain,2020-03-31,95923,8464
Spain,2020-04-01,104118,9387
Spain,2020-04-02,112065,10348
Spain,2020-04-03,119199,11198
Spain,2020-04-04,126168,11947
Spain,2020-04-05,131646,12641
Spain,2020-04-06,136675,13341
Spain,2020-04-07,141942,14045
Spain,2020-04-08,148220,14792
Spain,2020-04-09,153222,15447
Spain,2020-04-10,158273,16081
Spain,2020-04-11,163027,16606
Spain,2020-04-12,166831,17209
Spain,2020-04-13,170099,17756
Spain,2020-04-14,174060,18255
Spain,2020-04-15,180659,18812
Spain,2020-04-16,184948,19130
Spain,2020-04-17,190839,19478
Spain,2020-04-18,194416,20043
Spain,2020-04-19,198674,20453
Spain,2020-04-20,200210,20852
Spain,2020-04-21,204178,21282
Spain,2020-04-22,208389,21717
Spain,2020-04-23,213024,22157
Spain,2020-04-24,219764,22524
Spain,2020-04-25,223759,22902
Spain,2020-04-26,226629,23190
Spain,2020-04-27,229422,23521
Spain,2020-04-28,232128,23822
Spain,2020-04-29,236899,24275
Spain,2020-04-30,239340,24543
Spain,2020-05-01,242979,24824
Spain,2020-05-02,245589,25100
Spain,2020-05-03,247122,25264
Spain,2020-05-04,248301,25428
Spain,2020-05-05,250561,25613
Spain,2020-05-06,253682,25857
Italy,2020-02-15,3,0
Italy,2020-02-16,3,0
Italy,2020-02-17,3,0
Italy,2020-02-18,3,0
Italy,2020-02-19,3,0
Italy,2020-02-20,4,0
Italy,2020-02-21,21,1
Italy,2020-02-22,79,2
Italy,2020-02-23,157,3
Italy,2020-02-24,229,7
Italy,2020-02-25,323,11
Italy,2020-02-26,470,12
Italy,2020-02-27,655,17
Italy,2020-02-28,889,21
Italy,2020-02-29,1128,29
Italy,2020-03-01,1701,41
Italy,2020-03-02,2036,52
Italy,2020-03-03,2502,79
Italy,2020-03-04,3089,107
Italy,2020-03-05,3858,148
Italy,2020-03-06,4636,197
Italy,2020-03-07,5883,233
Italy,2020-03-08,7375,366
Italy,2020-03-09,9172,463
Italy,2020-03-10,10149,631
Italy,2020-03-11,12462,827
Italy,2020-03-12,15113,1016
Italy,2020-03-13,17660,1266
Italy,2020-03-14,21157,1441
Italy,2020-03-15,24747,1809
Italy,2020-03-16,27980,2158
Italy,2020-03-17,31506,2503
Italy,2020-03-18,35713,2978
Italy,2020-03-19,41035,3405
Italy,2020-03-20,47021,4032
Italy,2020-03-21,53578,4825
Italy,2020-03-22,59138,5476
Italy,2020-03-23,63927,6077
Italy,2020-03-24,69176,6820
Italy,2020-03-25,74386,7503
Italy,2020-03-26,80589,8215
Italy,2020-03-27,86498,9134
Italy,2020-03-28,92472,10023
Italy,2020-03-29,97689,10779
Italy,2020-03-30,101739,11591
Italy,2020-03-31,105792,12428
Italy,2020-04-01,110574,13155
Italy,2020-04-02,115242,13915
Italy,2020-04-03,119827,14681
Italy,2020-04-04,124632,15362
Italy,2020-04-05,128948,15887
Italy,2020-04-06,132547,16523
Italy,2020-04-07,135586,17127
Italy,2020-04-08,139422,17669
Italy,2020-04-09,143626,18279
Italy,2020-04-10,147577,18849
Italy,2020-04-11,152271,19468
Italy,2020-04-12,156363,19899
Italy,2020-04-13,159516,20465
Italy,2020-04-14,162488,21067
Italy,2020-04-15,165155,21645
Italy,2020-04-16,168941,22170
Italy,2020-04-17,172434,22745
Italy,2020-04-18,175925,23227
Italy,2020-04-19,178972,23660
Italy,2020-04-20,181228,24114
Italy,2020-04-21,183957,24648
Italy,2020-04-22,187327,25085
Italy,2020-04-23,189973,25549
Italy,2020-04-24,192994,25969
Italy,2020-04-25,195351,26384
Italy,2020-04-26,197675,26644
Italy,2020-04-27,199414,26977
Italy,2020-04-28,201505,27359
Italy,2020-04-29,203591,27682
Italy,2020-04-30,205463,27967
Italy,2020-05-01,207428,28236
Italy,2020-05-02,209328,28710
Italy,2020-05-03,210717,28884
Italy,2020-05-04,211938,29079
Italy,2020-05-05,213013,29315
Italy,2020-05-06,214457,29684
UK,2020-02-15,9,0
UK,2020-02-16,9,0
UK,2020-02-17,9,0
UK,2020-02-18,9,0
UK,2020-02-19,9,0
UK,2020-02-20,9,0
UK,2020-02-21,9,0
UK,2020-02-22,9,0
UK,2020-02-23,13,0
UK,2020-02-24,13,0
UK,2020-02-25,13,0
UK,2020-02-26,13,0
UK,2020-02-27,16,0
UK,2020-02-28,20,0
UK,2020-02-29,23,0
UK,2020-03-01,36,0
UK,2020-03-02,39,0
UK,2020-03-03,51,0
UK,2020-03-04,87,0
UK,2020-03-05,116,1
UK,2020-03-06,164,1
UK,2020-03-07,209,1
UK,2020-03-08,278,2
UK,2020-03-09,321,3
UK,2020-03-10,383,7
UK,2020-03-11,460,7
UK,2020-03-12,590,9
UK,2020-03-13,798,10
UK,2020-03-14,1140,28
UK,2020-03-15,1391,43
UK,2020-03-16,1543,65
UK,2020-03-17,1950,81
UK,2020-03-18,2626,115
UK,2020-03-19,3269,158
UK,2020-03-20,3983,194
UK,2020-03-21,5018,250
UK,2020-03-22,5683,285
UK,2020-03-23,6650,359
UK,2020-03-24,8077,508
UK,2020-03-25,9529,694
UK,2020-03-26,11658,877
UK,2020-03-27,14543,1161
UK,2020-03-28,17089,1455
UK,2020-03-29,19522,1669
UK,2020-03-30,22141,2043
UK,2020-03-31,25150,2425
UK,2020-04-01,29474,3095
UK,2020-04-02,33718,3747
UK,2020-04-03,38168,4461
UK,2020-04-04,41903,5221
UK,2020-04-05,47806,5865
UK,2020-04-06,51608,6433
UK,2020-04-07,55242,7471
UK,2020-04-08,60733,8505
UK,2020-04-09,65077,9608
UK,2020-04-10,73758,10760
UK,2020-04-11,78991,11599
UK,2020-04-12,84279,12285
UK,2020-04-13,88621,13029
UK,2020-04-14,93873,14073
UK,2020-04-15,98476,14915
UK,2020-04-16,103093,15944
UK,2020-04-17,108692,16879
UK,2020-04-18,114217,17994
UK,2020-04-19,120067,18492
UK,2020-04-20,124743,19051
UK,2020-04-21,129044,20223
UK,2020-04-22,133495,21060
UK,2020-04-23,138078,21787
UK,2020-04-24,143464,22792
UK,2020-04-25,148377,23635
UK,2020-04-26,152840,24055
UK,2020-04-27,157149,24393
UK,2020-04-28,161145,25302
UK,2020-04-29,165221,26097
UK,2020-04-30,171253,26771
UK,2020-05-01,177454,27510
UK,2020-05-02,182260,28131
UK,2020-05-03,186599,28446
UK,2020-05-04,190584,28734
UK,2020-05-05,194990,29427
UK,2020-05-06,201101,30076
France,2020-02-15,12,1
France,2020-02-16,12,1
France,2020-02-17,12,1
France,2020-02-18,12,1
France,2020-02-19,12,1
France,2020-02-20,12,1
France,2020-02-21,12,1
France,2020-02-22,12,1
France,2020-02-23,12,1
France,2020-02-24,12,1
France,2020-02-25,14,1
France,2020-02-26,18,2
France,2020-02-27,38,2
France,2020-02-28,57,2
France,2020-02-29,100,2
France,2020-03-01,130,2
France,2020-03-02,191,3
France,2020-03-03,212,4
France,2020-03-04,285,4
France,2020-03-05,423,7
France,2020-03-06,653,9
France,2020-03-07,949,16
France,2020-03-08,1209,19
France,2020-03-09,1412,30
France,2020-03-10,1784,33
France,2020-03-11,2281,48
France,2020-03-12,2876,61
France,2020-03-13,3661,79
France,2020-03-14,4499,91
France,2020-03-15,5423,127
France,2020-03-16,6633,148
France,2020-03-17,7730,175
France,2020-03-18,9134,264
France,2020-03-19,10995,372
France,2020-03-20,12612,450
France,2020-03-21,14459,562
France,2020-03-22,16018,674
France,2020-03-23,19856,860
France,2020-03-24,22304,1100
France,2020-03-25,25233,1331
France,2020-03-26,29155,1696
France,2020-03-27,32964,1995
France,2020-03-28,37575,2314
France,2020-03-29,40174,2606
France,2020-03-30,44550,3024
France,2020-03-31,52128,3523
France,2020-04-01,56989,4032
France,2020-04-02,59105,5387
France,2020-04-03,76460,6507
France,2020-04-04,83019,7560
France,2020-04-05,87719,8078
France,2020-04-06,90452,8911
France,2020-04-07,99180,10328
France,2020-04-08,103061,10869
France,2020-04-09,107696,12210
France,2020-04-10,113927,13197
France,2020-04-11,118178,13832
France,2020-04-12,120633,14393
France,2020-04-13,124298,14967
France,2020-04-14,130253,15729
France,2020-04-15,133644,17167
France,2020-04-16,140772,17920
France,2020-04-17,143116,18681
France,2020-04-18,146782,19323
France,2020-04-19,147844,19718
France,2020-04-20,150278,20265
France,2020-04-21,153531,20796
France,2020-04-22,155944,21340
France,2020-04-23,158183,21856
France,2020-04-24,159828,22245
France,2020-04-25,161488,22614
France,2020-04-26,162100,22856
France,2020-04-27,163273,23293
France,2020-04-28,165911,23660
France,2020-04-29,166420,24087
France,2020-04-30,167178,24376
France,2020-05-01,167346,24594
France,2020-05-02,168396,24760
France,2020-05-03,168693,24895
France,2020-05-04,169462,25201
France,2020-05-05,170551,25531
France,2020-05-06,174191,25809
Germany,2020-02-15,16,0
Germany,2020-02-16,16,0
Germany,2020-02-17,16,0
Germany,2020-02-18,16,0
Germany,2020-02-19,16,0
Germany,2020-02-20,16,0
Germany,2020-02-21,16,0
Germany,2020-02-22,16,0
Germany,2020-02-23,16,0
Germany,2020-02-24,16,0
Germany,2020-02-25,18,0
Germany,2020-02-26,26,0
Germany,2020-02-27,48,0
Germany,2020-02-28,74,0
Germany,2020-02-29,79,0
Germany,2020-03-01,130,0
Germany,2020-03-02,165,0
Germany,2020-03-03,203,0
Germany,2020-03-04,262,0
Germany,2020-03-05,545,0
Germany,2020-03-06,670,0
Germany,2020-03-07,800,0
Germany,2020-03-08,1040,0
Germany,2020-03-09,1224,2
Germany,2020-03-10,1565,2
Germany,2020-03-11,1966,3
Germany,2020-03-12,2745,6
Germany,2020-03-13,3675,8
Germany,2020-03-14,4599,9
Germany,2020-03-15,5813,13
Germany,2020-03-16,7272,17
Germany,2020-03-17,9367,26
Germany,2020-03-18,12327,28
Germany,2020-03-19,15320,44
Germany,2020-03-20,19848,68
Germany,2020-03-21,22364,84
Germany,2020-03-22,24873,94
Germany,2020-03-23,29056,123
Germany,2020-03-24,32991,159
Germany,2020-03-25,37323,206
Germany,2020-03-26,43938,267
Germany,2020-03-27,50871,351
Germany,2020-03-28,57695,433
Germany,2020-03-29,62435,541
Germany,2020-03-30,66885,645
Germany,2020-03-31,71808,775
Germany,2020-04-01,77981,931
Germany,2020-04-02,84794,1107
Germany,2020-04-03,91159,1275
Germany,2020-04-04,96092,1444
Germany,2020-04-05,100123,1584
Germany,2020-04-06,103375,1810
Germany,2020-04-07,107663,2016
Germany,2020-04-08,113296,2349
Germany,2020-04-09,118235,2607
Germany,2020-04-10,122171,2736
Germany,2020-04-11,125452,2871
Germany,2020-04-12,127854,3022
Germany,2020-04-13,130072,3194
Germany,2020-04-14,132210,3495
Germany,2020-04-15,134753,3804
Germany,2020-04-16,137698,4052
Germany,2020-04-17,141397,4352
Germany,2020-04-18,143724,4538
Germany,2020-04-19,145742,4642
Germany,2020-04-20,147065,4862
Germany,2020-04-21,148453,5086
Germany,2020-04-22,150648,5315
Germany,2020-04-23,153129,5575
Germany,2020-04-24,154999,5760
Germany,2020-04-25,156513,5877
Germany,2020-04-26,157770,5976
Germany,2020-04-27,158758,6126
Germany,2020-04-28,159912,6314
Germany,2020-04-29,161539,6467
Germany,2020-04-30,163009,6623
Germany,2020-05-01,164077,6736
Germany,2020-05-02,164967,6812
Germany,2020-05-03,165664,6866
Germany,2020-05-04,166152,6993
Germany,2020-05-05,167007,6993
Germany,2020-05-06,168162,7275
Russia,2020-02-15,2,0
Russia,2020-02-16,2,0
Russia,2020-02-17,2,0
Russia,2020-02-18,2,0
Russia,2020-02-19,2,0
Russia,2020-02-20,2,0
Russia,2020-02-21,2,0
Russia,2020-02-22,2,0
Russia,2020-02-23,2,0
Russia,2020-02-24,2,0
Russia,2020-02-25,2,0
Russia,2020-02-26,2,0
Russia,2020-02-27,2,0
Russia,2020-02-28,2,0
Russia,2020-02-29,2,0
Russia,2020-03-01,2,0
Russia,2020-03-02,3,0
Russia,2020-03-03,3,0
Russia,2020-03-04,3,0
Russia,2020-03-05,7,0
Russia,2020-03-06,13,0
Russia,2020-03-07,14,0
Russia,2020-03-08,17,0
Russia,2020-03-09,20,0
Russia,2020-03-10,20,0
Russia,2020-03-11,28,0
Russia,2020-03-12,34,0
Russia,2020-03-13,45,0
Russia,2020-03-14,59,0
Russia,2020-03-15,63,0
Russia,2020-03-16,93,0
Russia,2020-03-17,114,0
Russia,2020-03-18,147,0
Russia,2020-03-19,199,1
Russia,2020-03-20,253,1
Russia,2020-03-21,306,1
Russia,2020-03-22,367,1
Russia,2020-03-23,438,1
Russia,2020-03-24,495,1
Russia,2020-03-25,658,3
Russia,2020-03-26,840,3
Russia,2020-03-27,1036,4
Russia,2020-03-28,1264,4
Russia,2020-03-29,1534,8
Russia,2020-03-30,1836,9
Russia,2020-03-31,2337,17
Russia,2020-04-01,2777,24
Russia,2020-04-02,3548,30
Russia,2020-04-03,4149,34
Russia,2020-04-04,4731,43
Russia,2020-04-05,5389,45
Russia,2020-04-06,6343,47
Russia,2020-04-07,7497,58
Russia,2020-04-08,8672,63
Russia,2020-04-09,10131,76
Russia,2020-04-10,11917,94
Russia,2020-04-11,13584,106
Russia,2020-04-12,15770,130
Russia,2020-04-13,18328,148
Russia,2020-04-14,21102,170
Russia,2020-04-15,24490,198
Russia,2020-04-16,27938,232
Russia,2020-04-17,32008,273
Russia,2020-04-18,36793,313
Russia,2020-04-19,42853,361
Russia,2020-04-20,47121,405
Russia,2020-04-21,52763,456
Russia,2020-04-22,57999,513
Russia,2020-04-23,62773,555
Russia,2020-04-24,68622,615
Russia,2020-04-25,74588,681
Russia,2020-04-26,80949,747
Russia,2020-04-27,87147,794
Russia,2020-04-28,93558,867
Russia,2020-04-29,99399,972
Russia,2020-04-30,106498,1073
Russia,2020-05-01,114431,1169
Russia,2020-05-02,124054,1222
Russia,2020-05-03,134687,1280
Russia,2020-05-04,145268,1356
Russia,2020-05-05,155370,1451
Russia,2020-05-06,165929,1537
Turkey,2020-02-15,0,0
Turkey,2020-02-16,0,0
Turkey,2020-02-17,0,0
Turkey,2020-02-18,0,0
Turkey,2020-02-19,0,0
Turkey,2020-02-20,0,0
Turkey,2020-02-21,0,0
Turkey,2020-02-22,0,0
Turkey,2020-02-23,0,0
Turkey,2020-02-24,0,0
Turkey,2020-02-25,0,0
Turkey,2020-02-26,0,0
Turkey,2020-02-27,0,0
Turkey,2020-02-28,0,0
Turkey,2020-02-29,0,0
Turkey,2020-03-01,0,0
Turkey,2020-03-02,0,0
Turkey,2020-03-03,0,0
Turkey,2020-03-04,0,0
Turkey,2020-03-05,0,0
Turkey,2020-03-06,0,0
Turkey,2020-03-07,0,0
Turkey,2020-03-08,0,0
Turkey,2020-03-09,0,0
Turkey,2020-03-10,1,0
Turkey,2020-03-11,1,0
Turkey,2020-03-12,1,0
Turkey,2020-03-13,5,0
Turkey,2020-03-14,6,0
Turkey,2020-03-15,18,0
Turkey,2020-03-16,47,0
Turkey,2020-03-17,98,1
Turkey,2020-03-18,191,2
Turkey,2020-03-19,359,4
Turkey,2020-03-20,670,9
Turkey,2020-03-21,947,21
Turkey,2020-03-22,1236,30
Turkey,2020-03-23,1529,37
Turkey,2020-03-24,1872,44
Turkey,2020-03-25,2433,59
Turkey,2020-03-26,3629,75
Turkey,2020-03-27,5698,92
Turkey,2020-03-28,7402,108
Turkey,2020-03-29,9217,131
Turkey,2020-03-30,10827,168
Turkey,2020-03-31,13531,214
Turkey,2020-04-01,15679,277
Turkey,2020-04-02,18135,356
Turkey,2020-04-03,20921,425
Turkey,2020-04-04,23934,501
Turkey,2020-04-05,27069,574
Turkey,2020-04-06,30217,649
Turkey,2020-04-07,34109,725
Turkey,2020-04-08,38226,812
Turkey,2020-04-09,42282,908
Turkey,2020-04-10,47029,1006
Turkey,2020-04-11,52167,1101
Turkey,2020-04-12,56956,1198
Turkey,2020-04-13,61049,1296
Turkey,2020-04-14,65111,1403
Turkey,2020-04-15,69392,1518
Turkey,2020-04-16,74193,1643
Turkey,2020-04-17,78546,1769
Turkey,2020-04-18,82329,1890
Turkey,2020-04-19,86306,2017
Turkey,2020-04-20,90980,2140
Turkey,2020-04-21,95591,2259
Turkey,2020-04-22,98674,2376
Turkey,2020-04-23,101790,2491
Turkey,2020-04-24,104912,2600
Turkey,2020-04-25,107773,2706
Turkey,2020-04-26,110130,2805
Turkey,2020-04-27,112261,2900
Turkey,2020-04-28,114653,2992
Turkey,2020-04-29,117589,3081
Turkey,2020-04-30,120204,3174
Turkey,2020-05-01,122392,3258
Turkey,2020-05-02,124375,3336
Turkey,2020-05-03,126045,3397
Turkey,2020-05-04,127659,3461
Turkey,2020-05-05,129491,3520
Turkey,2020-05-06,131744,3584
Brazil,2020-02-15,0,0
Brazil,2020-02-16,0,0
Brazil,2020-02-17,0,0
Brazil,2020-02-18,0,0
Brazil,2020-02-19,0,0
Brazil,2020-02-20,0,0
Brazil,2020-02-21,0,0
Brazil,2020-02-22,0,0
Brazil,2020-02-23,0,0
Brazil,2020-02-24,0,0
Brazil,2020-02-25,1,0
Brazil,2020-02-26,1,0
Brazil,2020-02-27,1,0
Brazil,2020-02-28,1,0
Brazil,2020-02-29,2,0
Brazil,2020-03-01,2,0
Brazil,2020-03-02,2,0
Brazil,2020-03-03,2,0
Brazil,2020-03-04,3,0
Brazil,2020-03-05,8,0
Brazil,2020-03-06,13,0
Brazil,2020-03-07,19,0
Brazil,2020-03-08,25,0
Brazil,2020-03-09,25,0
Brazil,2020-03-10,34,0
Brazil,2020-03-11,52,0
Brazil,2020-03-12,77,0
Brazil,2020-03-13,151,0
Brazil,2020-03-14,151,0
Brazil,2020-03-15,200,0
Brazil,2020-03-16,234,0
Brazil,2020-03-17,346,1
Brazil,2020-03-18,529,4
Brazil,2020-03-19,640,7
Brazil,2020-03-20,970,11
Brazil,2020-03-21,1178,18
Brazil,2020-03-22,1546,25
Brazil,2020-03-23,1924,34
Brazil,2020-03-24,2247,46
Brazil,2020-03-25,2554,59
Brazil,2020-03-26,2985,77
Brazil,2020-03-27,3417,92
Brazil,2020-03-28,3904,114
Brazil,2020-03-29,4256,136
Brazil,2020-03-30,4630,163
Brazil,2020-03-31,5717,201
Brazil,2020-04-01,6880,242
Brazil,2020-04-02,8044,324
Brazil,2020-04-03,9194,363
Brazil,2020-04-04,10360,445
Brazil,2020-04-05,11254,486
Brazil,2020-04-06,12183,564
Brazil,2020-04-07,14034,686
Brazil,2020-04-08,16188,820
Brazil,2020-04-09,18145,954
Brazil,2020-04-10,19789,1068
Brazil,2020-04-11,20962,1140
Brazil,2020-04-12,22192,1223
Brazil,2020-04-13,23430,1328
Brazil,2020-04-14,25262,1532
Brazil,2020-04-15,28610,1757
Brazil,2020-04-16,30683,1947
Brazil,2020-04-17,33682,2141
Brazil,2020-04-18,36722,2361
Brazil,2020-04-19,38654,2462
Brazil,2020-04-20,40743,2587
Brazil,2020-04-21,43079,2741
Brazil,2020-04-22,45757,2906
Brazil,2020-04-23,49492,3313
Brazil,2020-04-24,52995,3670
Brazil,2020-04-25,59196,4045
Brazil,2020-04-26,62859,4271
Brazil,2020-04-27,66501,4543
Brazil,2020-04-28,72899,5063
Brazil,2020-04-29,79361,5511
Brazil,2020-04-30,85380,5901
Brazil,2020-05-01,92109,6410
Brazil,2020-05-02,96559,6750
Brazil,2020-05-03,101147,7025
Brazil,2020-05-04,108266,7343
Brazil,2020-05-05,114715,7921
Brazil,2020-05-06,126611,8588
Iran,2020-02-15,0,0
Iran,2020-02-16,0,0
Iran,2020-02-17,0,0
Iran,2020-02-18,0,0
Iran,2020-02-19,2,2
Iran,2020-02-20,5,2
Iran,2020-02-21,18,4
Iran,2020-02-22,29,6
Iran,2020-02-23,43,8
Iran,2020-02-24,61,12
Iran,2020-02-25,95,16
Iran,2020-02-26,139,19
Iran,2020-02-27,245,26
Iran,2020-02-28,388,34
Iran,2020-02-29,593,43
Iran,2020-03-01,978,54
Iran,2020-03-02,1501,66
Iran,2020-03-03,2336,77
Iran,2020-03-04,2922,92
Iran,2020-03-05,3513,108
Iran,2020-03-06,4747,124
Iran,2020-03-07,5823,145
Iran,2020-03-08,6566,194
Iran,2020-03-09,7161,237
Iran,2020-03-10,8042,291
Iran,2020-03-11,9000,354
Iran,2020-03-12,10075,429
Iran,2020-03-13,11364,514
Iran,2020-03-14,12729,611
Iran,2020-03-15,13938,724
Iran,2020-03-16,14991,853
Iran,2020-03-17,16169,988
Iran,2020-03-18,17361,1135
Iran,2020-03-19,18407,1284
Iran,2020-03-20,19644,1433
Iran,2020-03-21,20610,1556
Iran,2020-03-22,21638,1685
Iran,2020-03-23,23049,1812
Iran,2020-03-24,24811,1934
Iran,2020-03-25,27017,2077
Iran,2020-03-26,29406,2234
Iran,2020-03-27,32332,2378
Iran,2020-03-28,35408,2517
Iran,2020-03-29,38309,2640
Iran,2020-03-30,41495,2757
Iran,2020-03-31,44605,2898
Iran,2020-04-01,47593,3036
Iran,2020-04-02,50468,3160
Iran,2020-04-03,53183,3294
Iran,2020-04-04,55743,3452
Iran,2020-04-05,58226,3603
Iran,2020-04-06,60500,3739
Iran,2020-04-07,62589,3872
Iran,2020-04-08,64586,3993
Iran,2020-04-09,66220,4110
Iran,2020-04-10,68192,4232
Iran,2020-04-11,70029,4357
Iran,2020-04-12,71686,4474
Iran,2020-04-13,73303,4585
Iran,2020-04-14,74877,4683
Iran,2020-04-15,76389,4777
Iran,2020-04-16,77995,4869
Iran,2020-04-17,79494,4958
Iran,2020-04-18,80868,5031
Iran,2020-04-19,82211,5118
Iran,2020-04-20,83505,5209
Iran,2020-04-21,84802,5297
Iran,2020-04-22,85996,5391
Iran,2020-04-23,87026,5481
Iran,2020-04-24,88194,5574
Iran,2020-04-25,89328,5650
Iran,2020-04-26,90481,5710
Iran,2020-04-27,91472,5806
Iran,2020-04-28,92584,5877
Iran,2020-04-29,93657,5957
Iran,2020-04-30,94640,6028
Iran,2020-05-01,95646,6091
Iran,2020-05-02,96448,6156
Iran,2020-05-03,97424,6203
Iran,2020-05-04,98647,6277
Iran,2020-05-05,99970,6340
Iran,2020-05-06,101650,6418
Canada,2020-02-15,8,0
Canada,2020-02-16,8,0
Canada,2020-02-17,8,0
Canada,2020-02-18,8,0
Canada,2020-02-19,8,0
